phrase_id,phrase_text,verb,noun,context
58,break a blank sheet of paper,break,paper,interaction
59,smash a blank sheet of paper,break,paper,interaction
60,shatter a blank sheet of paper,break,paper,interaction
61,break an ink pen,break,pen,interaction
62,smash an ink pen,break,pen,interaction
63,shatter an ink pen,break,pen,interaction
64,break a graphite pencil,break,pencil,interaction
65,smash a graphite pencil,break,pencil,interaction
66,shatter a graphite pencil,break,pencil,interaction
67,break a goose-down pillow,break,pillow,interaction
68,smash a goose-down pillow,break,pillow,interaction
69,shatter a goose-down pillow,break,pillow,interaction
70,break a sewing pin,break,pin,interaction
71,smash a sewing pin,break,pin,interaction
72,shatter a sewing pin,break,pin,interaction
73,break a small glass bottle,break,poison-bottle,interaction
74,smash a small glass bottle,break,poison-bottle,interaction
75,shatter a small glass bottle,break,poison-bottle,interaction
76,break a dirty rag,break,rag,interaction
77,smash a dirty rag,break,rag,interaction
78,shatter a dirty rag,break,rag,interaction
79,break a threadbare rug,break,rug,interaction
80,smash a threadbare rug,break,rug,interaction
81,shatter a threadbare rug,break,rug,interaction
82,break a burlap sack,break,sack,interaction
83,smash a burlap sack,break,sack,interaction
84,shatter a burlap sack,break,sack,interaction
85,break a terrible burlap jacket,break,terrible-jacket,interaction
86,smash a terrible burlap jacket,break,terrible-jacket,interaction
87,shatter a terrible burlap jacket,break,terrible-jacket,interaction
88,break a spool of thread,break,thread,interaction
89,smash a spool of thread,break,thread,interaction
90,shatter a spool of thread,break,thread,interaction
91,break an oak vanity (mirror broken),break,vanity-mirror-broken,interaction
92,smash an oak vanity (mirror broken),break,vanity-mirror-broken,interaction
93,shatter an oak vanity (mirror broken),break,vanity-mirror-broken,interaction
94,"break an oak vanity (drawer open, mirror broken)",break,vanity-open-mirror-broken,interaction
95,"smash an oak vanity (drawer open, mirror broken)",break,vanity-open-mirror-broken,interaction
96,"shatter an oak vanity (drawer open, mirror broken)",break,vanity-open-mirror-broken,interaction
97,break an oak vanity (drawer open),break,vanity-open,interaction
98,smash an oak vanity (drawer open),break,vanity-open,interaction
99,shatter an oak vanity (drawer open),break,vanity-open,interaction
100,break an oak vanity,break,vanity,interaction
101,smash an oak vanity,break,vanity,interaction
102,shatter an oak vanity,break,vanity,interaction
103,break a heavy wardrobe (open),break,wardrobe-open,interaction
104,smash a heavy wardrobe (open),break,wardrobe-open,interaction
105,shatter a heavy wardrobe (open),break,wardrobe-open,interaction
106,break a heavy wardrobe,break,wardrobe,interaction
107,smash a heavy wardrobe,break,wardrobe,interaction
108,shatter a heavy wardrobe,break,wardrobe,interaction
109,break an open leaded glass window,break,window-open,interaction
110,smash an open leaded glass window,break,window-open,interaction
111,shatter an open leaded glass window,break,window-open,interaction
112,break a leaded glass window,break,window,interaction
113,smash a leaded glass window,break,window,interaction
114,shatter a leaded glass window,break,window,interaction
115,break a moth-eaten wool cloak,break,wool-cloak,interaction
116,smash a moth-eaten wool cloak,break,wool-cloak,interaction
117,shatter a moth-eaten wool cloak,break,wool-cloak,interaction
118,burn a crude bandage,burn,bandage,interaction
119,set fire to a crude bandage,burn,bandage,interaction
120,incinerate a crude bandage,burn,bandage,interaction
121,burn rumpled bed sheets,burn,bed-sheets,interaction
122,set fire to rumpled bed sheets,burn,bed-sheets,interaction
123,incinerate rumpled bed sheets,burn,bed-sheets,interaction
124,burn a large four-poster bed,burn,bed,interaction
125,set fire to a large four-poster bed,burn,bed,interaction
126,incinerate a large four-poster bed,burn,bed,interaction
127,burn a heavy wool blanket,burn,blanket,interaction
128,set fire to a heavy wool blanket,burn,blanket,interaction
129,incinerate a heavy wool blanket,burn,blanket,interaction
130,burn a small brass key,burn,brass-key,interaction
131,set fire to a small brass key,burn,brass-key,interaction
132,incinerate a small brass key,burn,brass-key,interaction
133,burn a lit tallow candle,burn,candle-lit,interaction
134,set fire to a lit tallow candle,burn,candle-lit,interaction
135,incinerate a lit tallow candle,burn,candle-lit,interaction
136,burn a tallow candle,burn,candle,interaction
137,set fire to a tallow candle,burn,candle,interaction
138,incinerate a tallow candle,burn,candle,interaction
139,burn a ceramic chamber pot,burn,chamber-pot,interaction
140,set fire to a ceramic chamber pot,burn,chamber-pot,interaction
141,incinerate a ceramic chamber pot,burn,chamber-pot,interaction
142,burn a piece of cloth,burn,cloth,interaction
143,set fire to a piece of cloth,burn,cloth,interaction
144,incinerate a piece of cloth,burn,cloth,interaction
145,burn heavy velvet curtains (open),burn,curtains-open,interaction
146,set fire to heavy velvet curtains (open),burn,curtains-open,interaction
147,incinerate heavy velvet curtains (open),burn,curtains-open,interaction
148,burn heavy velvet curtains,burn,curtains,interaction
149,set fire to heavy velvet curtains,burn,curtains,interaction
150,incinerate heavy velvet curtains,burn,curtains,interaction
151,burn a glass shard,burn,glass-shard,interaction
152,set fire to a glass shard,burn,glass-shard,interaction
153,incinerate a glass shard,burn,glass-shard,interaction
154,burn a small knife,burn,knife,interaction
155,set fire to a small knife,burn,knife,interaction
156,incinerate a small knife,burn,knife,interaction
157,burn a lit match,burn,match-lit,interaction
158,set fire to a lit match,burn,match-lit,interaction
159,incinerate a lit match,burn,match-lit,interaction
160,burn a wooden match,burn,match,interaction
161,set fire to a wooden match,burn,match,interaction
162,incinerate a wooden match,burn,match,interaction
163,burn a small matchbox,burn,matchbox,interaction
164,set fire to a small matchbox,burn,matchbox,interaction
165,incinerate a small matchbox,burn,matchbox,interaction
166,burn a sewing needle,burn,needle,interaction
167,set fire to a sewing needle,burn,needle,interaction
168,incinerate a sewing needle,burn,needle,interaction
169,burn a small nightstand (drawer open),burn,nightstand-open,interaction
170,set fire to a small nightstand (drawer open),burn,nightstand-open,interaction
171,incinerate a small nightstand (drawer open),burn,nightstand-open,interaction
172,burn a small nightstand,burn,nightstand,interaction
173,set fire to a small nightstand,burn,nightstand,interaction
174,incinerate a small nightstand,burn,nightstand,interaction
175,burn a blank sheet of paper,burn,paper,interaction
176,set fire to a blank sheet of paper,burn,paper,interaction
177,incinerate a blank sheet of paper,burn,paper,interaction
178,burn an ink pen,burn,pen,interaction
179,set fire to an ink pen,burn,pen,interaction
180,incinerate an ink pen,burn,pen,interaction
181,burn a graphite pencil,burn,pencil,interaction
182,set fire to a graphite pencil,burn,pencil,interaction
183,incinerate a graphite pencil,burn,pencil,interaction
184,burn a goose-down pillow,burn,pillow,interaction
185,set fire to a goose-down pillow,burn,pillow,interaction
186,incinerate a goose-down pillow,burn,pillow,interaction
187,burn a sewing pin,burn,pin,interaction
188,set fire to a sewing pin,burn,pin,interaction
189,incinerate a sewing pin,burn,pin,interaction
190,burn a small glass bottle,burn,poison-bottle,interaction
191,set fire to a small glass bottle,burn,poison-bottle,interaction
192,incinerate a small glass bottle,burn,poison-bottle,interaction
193,burn a dirty rag,burn,rag,interaction
194,set fire to a dirty rag,burn,rag,interaction
195,incinerate a dirty rag,burn,rag,interaction
196,burn a threadbare rug,burn,rug,interaction
197,set fire to a threadbare rug,burn,rug,interaction
198,incinerate a threadbare rug,burn,rug,interaction
199,burn a burlap sack,burn,sack,interaction
200,set fire to a burlap sack,burn,sack,interaction
201,incinerate a burlap sack,burn,sack,interaction
202,burn a terrible burlap jacket,burn,terrible-jacket,interaction
203,set fire to a terrible burlap jacket,burn,terrible-jacket,interaction
204,incinerate a terrible burlap jacket,burn,terrible-jacket,interaction
205,burn a spool of thread,burn,thread,interaction
206,set fire to a spool of thread,burn,thread,interaction
207,incinerate a spool of thread,burn,thread,interaction
208,burn an oak vanity (mirror broken),burn,vanity-mirror-broken,interaction
209,set fire to an oak vanity (mirror broken),burn,vanity-mirror-broken,interaction
210,incinerate an oak vanity (mirror broken),burn,vanity-mirror-broken,interaction
211,"burn an oak vanity (drawer open, mirror broken)",burn,vanity-open-mirror-broken,interaction
212,"set fire to an oak vanity (drawer open, mirror broken)",burn,vanity-open-mirror-broken,interaction
213,"incinerate an oak vanity (drawer open, mirror broken)",burn,vanity-open-mirror-broken,interaction
214,burn an oak vanity (drawer open),burn,vanity-open,interaction
215,set fire to an oak vanity (drawer open),burn,vanity-open,interaction
216,incinerate an oak vanity (drawer open),burn,vanity-open,interaction
217,burn an oak vanity,burn,vanity,interaction
218,set fire to an oak vanity,burn,vanity,interaction
219,incinerate an oak vanity,burn,vanity,interaction
220,burn a heavy wardrobe (open),burn,wardrobe-open,interaction
221,set fire to a heavy wardrobe (open),burn,wardrobe-open,interaction
222,incinerate a heavy wardrobe (open),burn,wardrobe-open,interaction
223,burn a heavy wardrobe,burn,wardrobe,interaction
224,set fire to a heavy wardrobe,burn,wardrobe,interaction
225,incinerate a heavy wardrobe,burn,wardrobe,interaction
226,burn an open leaded glass window,burn,window-open,interaction
227,set fire to an open leaded glass window,burn,window-open,interaction
228,incinerate an open leaded glass window,burn,window-open,interaction
229,burn a leaded glass window,burn,window,interaction
230,set fire to a leaded glass window,burn,window,interaction
231,incinerate a leaded glass window,burn,window,interaction
232,burn a moth-eaten wool cloak,burn,wool-cloak,interaction
233,set fire to a moth-eaten wool cloak,burn,wool-cloak,interaction
234,incinerate a moth-eaten wool cloak,burn,wool-cloak,interaction
235,close a crude bandage,close,bandage,interaction
236,shut a crude bandage,close,bandage,interaction
237,slam a crude bandage,close,bandage,interaction
238,close rumpled bed sheets,close,bed-sheets,interaction
239,shut rumpled bed sheets,close,bed-sheets,interaction
240,slam rumpled bed sheets,close,bed-sheets,interaction
241,close a large four-poster bed,close,bed,interaction
242,shut a large four-poster bed,close,bed,interaction
243,slam a large four-poster bed,close,bed,interaction
244,close a heavy wool blanket,close,blanket,interaction
245,shut a heavy wool blanket,close,blanket,interaction
246,slam a heavy wool blanket,close,blanket,interaction
247,close a small brass key,close,brass-key,interaction
248,shut a small brass key,close,brass-key,interaction
249,slam a small brass key,close,brass-key,interaction
250,close a lit tallow candle,close,candle-lit,interaction
251,shut a lit tallow candle,close,candle-lit,interaction
252,slam a lit tallow candle,close,candle-lit,interaction
253,close a tallow candle,close,candle,interaction
254,shut a tallow candle,close,candle,interaction
255,slam a tallow candle,close,candle,interaction
256,close a ceramic chamber pot,close,chamber-pot,interaction
257,shut a ceramic chamber pot,close,chamber-pot,interaction
258,slam a ceramic chamber pot,close,chamber-pot,interaction
259,close a piece of cloth,close,cloth,interaction
260,shut a piece of cloth,close,cloth,interaction
261,slam a piece of cloth,close,cloth,interaction
262,close heavy velvet curtains (open),close,curtains-open,interaction
263,shut heavy velvet curtains (open),close,curtains-open,interaction
264,slam heavy velvet curtains (open),close,curtains-open,interaction
265,close heavy velvet curtains,close,curtains,interaction
266,shut heavy velvet curtains,close,curtains,interaction
267,slam heavy velvet curtains,close,curtains,interaction
268,close a glass shard,close,glass-shard,interaction
269,shut a glass shard,close,glass-shard,interaction
270,slam a glass shard,close,glass-shard,interaction
271,close a small knife,close,knife,interaction
272,shut a small knife,close,knife,interaction
273,slam a small knife,close,knife,interaction
274,close a lit match,close,match-lit,interaction
275,shut a lit match,close,match-lit,interaction
276,slam a lit match,close,match-lit,interaction
277,close a wooden match,close,match,interaction
278,shut a wooden match,close,match,interaction
279,slam a wooden match,close,match,interaction
280,close a small matchbox,close,matchbox,interaction
281,shut a small matchbox,close,matchbox,interaction
282,slam a small matchbox,close,matchbox,interaction
283,close a sewing needle,close,needle,interaction
284,shut a sewing needle,close,needle,interaction
285,slam a sewing needle,close,needle,interaction
286,close a small nightstand (drawer open),close,nightstand-open,interaction
287,shut a small nightstand (drawer open),close,nightstand-open,interaction
288,slam a small nightstand (drawer open),close,nightstand-open,interaction
289,close a small nightstand,close,nightstand,interaction
290,shut a small nightstand,close,nightstand,interaction
291,slam a small nightstand,close,nightstand,interaction
292,close a blank sheet of paper,close,paper,interaction
293,shut a blank sheet of paper,close,paper,interaction
294,slam a blank sheet of paper,close,paper,interaction
295,close an ink pen,close,pen,interaction
296,shut an ink pen,close,pen,interaction
297,slam an ink pen,close,pen,interaction
298,close a graphite pencil,close,pencil,interaction
299,shut a graphite pencil,close,pencil,interaction
300,slam a graphite pencil,close,pencil,interaction
301,close a goose-down pillow,close,pillow,interaction
302,shut a goose-down pillow,close,pillow,interaction
303,slam a goose-down pillow,close,pillow,interaction
304,close a sewing pin,close,pin,interaction
305,shut a sewing pin,close,pin,interaction
306,slam a sewing pin,close,pin,interaction
307,close a small glass bottle,close,poison-bottle,interaction
308,shut a small glass bottle,close,poison-bottle,interaction
309,slam a small glass bottle,close,poison-bottle,interaction
310,close a dirty rag,close,rag,interaction
311,shut a dirty rag,close,rag,interaction
312,slam a dirty rag,close,rag,interaction
313,close a threadbare rug,close,rug,interaction
314,shut a threadbare rug,close,rug,interaction
315,slam a threadbare rug,close,rug,interaction
316,close a burlap sack,close,sack,interaction
317,shut a burlap sack,close,sack,interaction
318,slam a burlap sack,close,sack,interaction
319,close a terrible burlap jacket,close,terrible-jacket,interaction
320,shut a terrible burlap jacket,close,terrible-jacket,interaction
321,slam a terrible burlap jacket,close,terrible-jacket,interaction
322,close a spool of thread,close,thread,interaction
323,shut a spool of thread,close,thread,interaction
324,slam a spool of thread,close,thread,interaction
325,close an oak vanity (mirror broken),close,vanity-mirror-broken,interaction
326,shut an oak vanity (mirror broken),close,vanity-mirror-broken,interaction
327,slam an oak vanity (mirror broken),close,vanity-mirror-broken,interaction
328,"close an oak vanity (drawer open, mirror broken)",close,vanity-open-mirror-broken,interaction
329,"shut an oak vanity (drawer open, mirror broken)",close,vanity-open-mirror-broken,interaction
330,"slam an oak vanity (drawer open, mirror broken)",close,vanity-open-mirror-broken,interaction
331,close an oak vanity (drawer open),close,vanity-open,interaction
332,shut an oak vanity (drawer open),close,vanity-open,interaction
333,slam an oak vanity (drawer open),close,vanity-open,interaction
334,close an oak vanity,close,vanity,interaction
335,shut an oak vanity,close,vanity,interaction
336,slam an oak vanity,close,vanity,interaction
337,close a heavy wardrobe (open),close,wardrobe-open,interaction
338,shut a heavy wardrobe (open),close,wardrobe-open,interaction
339,slam a heavy wardrobe (open),close,wardrobe-open,interaction
340,close a heavy wardrobe,close,wardrobe,interaction
341,shut a heavy wardrobe,close,wardrobe,interaction
342,slam a heavy wardrobe,close,wardrobe,interaction
343,close an open leaded glass window,close,window-open,interaction
344,shut an open leaded glass window,close,window-open,interaction
345,slam an open leaded glass window,close,window-open,interaction
346,close a leaded glass window,close,window,interaction
347,shut a leaded glass window,close,window,interaction
348,slam a leaded glass window,close,window,interaction
349,close a moth-eaten wool cloak,close,wool-cloak,interaction
350,shut a moth-eaten wool cloak,close,wool-cloak,interaction
351,slam a moth-eaten wool cloak,close,wool-cloak,interaction
352,consume a crude bandage,consume,bandage,interaction
353,eat a crude bandage,consume,bandage,interaction
354,ingest a crude bandage,consume,bandage,interaction
355,consume rumpled bed sheets,consume,bed-sheets,interaction
356,eat rumpled bed sheets,consume,bed-sheets,interaction
357,ingest rumpled bed sheets,consume,bed-sheets,interaction
358,consume a large four-poster bed,consume,bed,interaction
359,eat a large four-poster bed,consume,bed,interaction
360,ingest a large four-poster bed,consume,bed,interaction
361,consume a heavy wool blanket,consume,blanket,interaction
362,eat a heavy wool blanket,consume,blanket,interaction
363,ingest a heavy wool blanket,consume,blanket,interaction
364,consume a small brass key,consume,brass-key,interaction
365,eat a small brass key,consume,brass-key,interaction
366,ingest a small brass key,consume,brass-key,interaction
367,consume a lit tallow candle,consume,candle-lit,interaction
368,eat a lit tallow candle,consume,candle-lit,interaction
369,ingest a lit tallow candle,consume,candle-lit,interaction
370,consume a tallow candle,consume,candle,interaction
371,eat a tallow candle,consume,candle,interaction
372,ingest a tallow candle,consume,candle,interaction
373,consume a ceramic chamber pot,consume,chamber-pot,interaction
374,eat a ceramic chamber pot,consume,chamber-pot,interaction
375,ingest a ceramic chamber pot,consume,chamber-pot,interaction
376,consume a piece of cloth,consume,cloth,interaction
377,eat a piece of cloth,consume,cloth,interaction
378,ingest a piece of cloth,consume,cloth,interaction
379,consume heavy velvet curtains (open),consume,curtains-open,interaction
380,eat heavy velvet curtains (open),consume,curtains-open,interaction
381,ingest heavy velvet curtains (open),consume,curtains-open,interaction
382,consume heavy velvet curtains,consume,curtains,interaction
383,eat heavy velvet curtains,consume,curtains,interaction
384,ingest heavy velvet curtains,consume,curtains,interaction
385,consume a glass shard,consume,glass-shard,interaction
386,eat a glass shard,consume,glass-shard,interaction
387,ingest a glass shard,consume,glass-shard,interaction
388,consume a small knife,consume,knife,interaction
389,eat a small knife,consume,knife,interaction
390,ingest a small knife,consume,knife,interaction
391,consume a lit match,consume,match-lit,interaction
392,eat a lit match,consume,match-lit,interaction
393,ingest a lit match,consume,match-lit,interaction
394,consume a wooden match,consume,match,interaction
395,eat a wooden match,consume,match,interaction
396,ingest a wooden match,consume,match,interaction
397,consume a small matchbox,consume,matchbox,interaction
398,eat a small matchbox,consume,matchbox,interaction
399,ingest a small matchbox,consume,matchbox,interaction
400,consume a sewing needle,consume,needle,interaction
401,eat a sewing needle,consume,needle,interaction
402,ingest a sewing needle,consume,needle,interaction
403,consume a small nightstand (drawer open),consume,nightstand-open,interaction
404,eat a small nightstand (drawer open),consume,nightstand-open,interaction
405,ingest a small nightstand (drawer open),consume,nightstand-open,interaction
406,consume a small nightstand,consume,nightstand,interaction
407,eat a small nightstand,consume,nightstand,interaction
408,ingest a small nightstand,consume,nightstand,interaction
409,consume a blank sheet of paper,consume,paper,interaction
410,eat a blank sheet of paper,consume,paper,interaction
411,ingest a blank sheet of paper,consume,paper,interaction
412,consume an ink pen,consume,pen,interaction
413,eat an ink pen,consume,pen,interaction
414,ingest an ink pen,consume,pen,interaction
415,consume a graphite pencil,consume,pencil,interaction
416,eat a graphite pencil,consume,pencil,interaction
417,ingest a graphite pencil,consume,pencil,interaction
418,consume a goose-down pillow,consume,pillow,interaction
419,eat a goose-down pillow,consume,pillow,interaction
420,ingest a goose-down pillow,consume,pillow,interaction
421,consume a sewing pin,consume,pin,interaction
422,eat a sewing pin,consume,pin,interaction
423,ingest a sewing pin,consume,pin,interaction
424,consume a small glass bottle,consume,poison-bottle,interaction
425,eat a small glass bottle,consume,poison-bottle,interaction
426,ingest a small glass bottle,consume,poison-bottle,interaction
427,consume a dirty rag,consume,rag,interaction
428,eat a dirty rag,consume,rag,interaction
429,ingest a dirty rag,consume,rag,interaction
430,consume a threadbare rug,consume,rug,interaction
431,eat a threadbare rug,consume,rug,interaction
432,ingest a threadbare rug,consume,rug,interaction
433,consume a burlap sack,consume,sack,interaction
434,eat a burlap sack,consume,sack,interaction
435,ingest a burlap sack,consume,sack,interaction
436,consume a terrible burlap jacket,consume,terrible-jacket,interaction
437,eat a terrible burlap jacket,consume,terrible-jacket,interaction
438,ingest a terrible burlap jacket,consume,terrible-jacket,interaction
439,consume a spool of thread,consume,thread,interaction
440,eat a spool of thread,consume,thread,interaction
441,ingest a spool of thread,consume,thread,interaction
442,consume an oak vanity (mirror broken),consume,vanity-mirror-broken,interaction
443,eat an oak vanity (mirror broken),consume,vanity-mirror-broken,interaction
444,ingest an oak vanity (mirror broken),consume,vanity-mirror-broken,interaction
445,"consume an oak vanity (drawer open, mirror broken)",consume,vanity-open-mirror-broken,interaction
446,"eat an oak vanity (drawer open, mirror broken)",consume,vanity-open-mirror-broken,interaction
447,"ingest an oak vanity (drawer open, mirror broken)",consume,vanity-open-mirror-broken,interaction
448,consume an oak vanity (drawer open),consume,vanity-open,interaction
449,eat an oak vanity (drawer open),consume,vanity-open,interaction
450,ingest an oak vanity (drawer open),consume,vanity-open,interaction
451,consume an oak vanity,consume,vanity,interaction
452,eat an oak vanity,consume,vanity,interaction
453,ingest an oak vanity,consume,vanity,interaction
454,consume a heavy wardrobe (open),consume,wardrobe-open,interaction
455,eat a heavy wardrobe (open),consume,wardrobe-open,interaction
456,ingest a heavy wardrobe (open),consume,wardrobe-open,interaction
457,consume a heavy wardrobe,consume,wardrobe,interaction
458,eat a heavy wardrobe,consume,wardrobe,interaction
459,ingest a heavy wardrobe,consume,wardrobe,interaction
460,consume an open leaded glass window,consume,window-open,interaction
461,eat an open leaded glass window,consume,window-open,interaction
462,ingest an open leaded glass window,consume,window-open,interaction
463,consume a leaded glass window,consume,window,interaction
464,eat a leaded glass window,consume,window,interaction
465,ingest a leaded glass window,consume,window,interaction
466,consume a moth-eaten wool cloak,consume,wool-cloak,interaction
467,eat a moth-eaten wool cloak,consume,wool-cloak,interaction
468,ingest a moth-eaten wool cloak,consume,wool-cloak,interaction
469,cut a crude bandage,cut,bandage,interaction
470,slash a crude bandage,cut,bandage,interaction
471,slice a crude bandage,cut,bandage,interaction
472,cut rumpled bed sheets,cut,bed-sheets,interaction
473,slash rumpled bed sheets,cut,bed-sheets,interaction
474,slice rumpled bed sheets,cut,bed-sheets,interaction
475,cut a large four-poster bed,cut,bed,interaction
476,slash a large four-poster bed,cut,bed,interaction
477,slice a large four-poster bed,cut,bed,interaction
478,cut a heavy wool blanket,cut,blanket,interaction
479,slash a heavy wool blanket,cut,blanket,interaction
480,slice a heavy wool blanket,cut,blanket,interaction
481,cut a small brass key,cut,brass-key,interaction
482,slash a small brass key,cut,brass-key,interaction
483,slice a small brass key,cut,brass-key,interaction
484,cut a lit tallow candle,cut,candle-lit,interaction
485,slash a lit tallow candle,cut,candle-lit,interaction
486,slice a lit tallow candle,cut,candle-lit,interaction
487,cut a tallow candle,cut,candle,interaction
488,slash a tallow candle,cut,candle,interaction
489,slice a tallow candle,cut,candle,interaction
490,cut a ceramic chamber pot,cut,chamber-pot,interaction
491,slash a ceramic chamber pot,cut,chamber-pot,interaction
492,slice a ceramic chamber pot,cut,chamber-pot,interaction
493,cut a piece of cloth,cut,cloth,interaction
494,slash a piece of cloth,cut,cloth,interaction
495,slice a piece of cloth,cut,cloth,interaction
496,cut heavy velvet curtains (open),cut,curtains-open,interaction
497,slash heavy velvet curtains (open),cut,curtains-open,interaction
498,slice heavy velvet curtains (open),cut,curtains-open,interaction
499,cut heavy velvet curtains,cut,curtains,interaction
500,slash heavy velvet curtains,cut,curtains,interaction
501,slice heavy velvet curtains,cut,curtains,interaction
502,cut a glass shard,cut,glass-shard,interaction
503,slash a glass shard,cut,glass-shard,interaction
504,slice a glass shard,cut,glass-shard,interaction
505,cut a small knife,cut,knife,interaction
506,slash a small knife,cut,knife,interaction
507,slice a small knife,cut,knife,interaction
508,cut a lit match,cut,match-lit,interaction
509,slash a lit match,cut,match-lit,interaction
510,slice a lit match,cut,match-lit,interaction
511,cut a wooden match,cut,match,interaction
512,slash a wooden match,cut,match,interaction
513,slice a wooden match,cut,match,interaction
514,cut a small matchbox,cut,matchbox,interaction
515,slash a small matchbox,cut,matchbox,interaction
516,slice a small matchbox,cut,matchbox,interaction
517,cut a sewing needle,cut,needle,interaction
518,slash a sewing needle,cut,needle,interaction
519,slice a sewing needle,cut,needle,interaction
520,cut a small nightstand (drawer open),cut,nightstand-open,interaction
521,slash a small nightstand (drawer open),cut,nightstand-open,interaction
522,slice a small nightstand (drawer open),cut,nightstand-open,interaction
523,cut a small nightstand,cut,nightstand,interaction
524,slash a small nightstand,cut,nightstand,interaction
525,slice a small nightstand,cut,nightstand,interaction
526,cut a blank sheet of paper,cut,paper,interaction
527,slash a blank sheet of paper,cut,paper,interaction
528,slice a blank sheet of paper,cut,paper,interaction
529,cut an ink pen,cut,pen,interaction
530,slash an ink pen,cut,pen,interaction
531,slice an ink pen,cut,pen,interaction
532,cut a graphite pencil,cut,pencil,interaction
533,slash a graphite pencil,cut,pencil,interaction
534,slice a graphite pencil,cut,pencil,interaction
535,cut a goose-down pillow,cut,pillow,interaction
536,slash a goose-down pillow,cut,pillow,interaction
537,slice a goose-down pillow,cut,pillow,interaction
538,cut a sewing pin,cut,pin,interaction
539,slash a sewing pin,cut,pin,interaction
540,slice a sewing pin,cut,pin,interaction
541,cut a small glass bottle,cut,poison-bottle,interaction
542,slash a small glass bottle,cut,poison-bottle,interaction
543,slice a small glass bottle,cut,poison-bottle,interaction
544,cut a dirty rag,cut,rag,interaction
545,slash a dirty rag,cut,rag,interaction
546,slice a dirty rag,cut,rag,interaction
547,cut a threadbare rug,cut,rug,interaction
548,slash a threadbare rug,cut,rug,interaction
549,slice a threadbare rug,cut,rug,interaction
550,cut a burlap sack,cut,sack,interaction
551,slash a burlap sack,cut,sack,interaction
552,slice a burlap sack,cut,sack,interaction
553,cut a terrible burlap jacket,cut,terrible-jacket,interaction
554,slash a terrible burlap jacket,cut,terrible-jacket,interaction
555,slice a terrible burlap jacket,cut,terrible-jacket,interaction
556,cut a spool of thread,cut,thread,interaction
557,slash a spool of thread,cut,thread,interaction
558,slice a spool of thread,cut,thread,interaction
559,cut an oak vanity (mirror broken),cut,vanity-mirror-broken,interaction
560,slash an oak vanity (mirror broken),cut,vanity-mirror-broken,interaction
561,slice an oak vanity (mirror broken),cut,vanity-mirror-broken,interaction
562,"cut an oak vanity (drawer open, mirror broken)",cut,vanity-open-mirror-broken,interaction
563,"slash an oak vanity (drawer open, mirror broken)",cut,vanity-open-mirror-broken,interaction
564,"slice an oak vanity (drawer open, mirror broken)",cut,vanity-open-mirror-broken,interaction
565,cut an oak vanity (drawer open),cut,vanity-open,interaction
566,slash an oak vanity (drawer open),cut,vanity-open,interaction
